track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_.,valence_.,energy_.,acousticness_.,instrumentalness_.,liveness_.,speechiness_.,artist1,artist2,artist3,streams_m,in_deezer_playlists_m,in_shazam_charts_m,outlier,key_m,mode_m,artist4,ts
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,Taylor Swift,"","",800.840817,125,548,0,A,Major,Taylor Swift,1
I Can See You (Taylor���s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,Taylor Swift,"","",52.135248,42,150,0,F#,Major,Taylor Swift,1
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,Taylor Swift,"","",999.748277,165,310,0,E,Major,Taylor Swift,1
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,Taylor Swift,"","",1355.959075,410,81,0,F,Major,Taylor Swift,1
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,Taylor Swift,"","",786.181836,151,82,0,D,Major,Taylor Swift,1
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,"",Minor,61,53,58,55,0,27,4,Taylor Swift,"","",812.019557,142,215,3,Eb,Major,Taylor Swift,1
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,Taylor Swift,"","",404.562836,32,272,0,G#,Major,Taylor Swift,1
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,Taylor Swift,"","",39.578178,8,5,0,G#,Major,Taylor Swift,1
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,Taylor Swift,"","",39.228929,5,8,0,D,Major,Taylor Swift,1
Don���t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,Taylor Swift,"","",685.032533,0,10,0,A,Minor,Taylor Swift,1
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,Taylor Swift,"","",882.831184,163,5,0,G,Major,Taylor Swift,1
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4,Taylor Swift,"","",36.912123,6,0,0,G,Major,Taylor Swift,1
august,Taylor Swift,1,2020,7,24,7324,22,607123776,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3,Taylor Swift,"","",607.123776,61,44,0,F,Major,Taylor Swift,1
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3,Taylor Swift,"","",621.660989,113,40,0,G#,Major,Taylor Swift,1
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,Taylor Swift,"","",1113.838873,1378,20,0,G,Major,Taylor Swift,1
You Belong With Me (Taylor���s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3,Taylor Swift,"","",350.381515,1,7,0,F#,Major,Taylor Swift,1
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8,Taylor Swift,"","",30.343206,3,1,0,B,Minor,Taylor Swift,1
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4,Taylor Swift,"","",68.616963,6,0,0,F,Major,Taylor Swift,1
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6,Taylor Swift, Ice Spice,"",46.142772,31,0,0,G#,Major,Taylor Swift,1
